date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:50	54551/54551	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:21%20GMT	https://pantip.com/profile/386911	C:/My%20Web%20Sites/pantip/pantip.com/profile/386911.html	(from https://pantip.com/)
15:13:50	1751/1751	---M--	200	added ('OK')	image/jpeg	etag:%225b7e20a0-6d7%22	https://p.ptcdn.info/816/009/000/386911_5145729353_1795769-229518283923414-435786256-n_m.jpg	C:/My%20Web%20Sites/pantip/p.ptcdn.info/816/009/000/386911_5145729353_1795769-229518283923414-435786256-n_m.jpg	(from https://pantip.com/)
15:13:51	168875/168875	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:22%20GMT	https://pantip.com/topic/43299985	C:/My%20Web%20Sites/pantip/pantip.com/topic/43299985.html	(from https://pantip.com/)
15:13:51	207441/207441	---MCZ	200	added ('OK')	text/html	etag:%22hhdv9v7heg3muh%22	https://pantip.com/tag/%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%a3%e0%b8%b1%e0%b8%81	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%9b%e0%b8%b1%e0%b8%8d%e0%b8%ab%e0%b8%b2%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%a3%e0%b8%b1%e0%b8%81.html	(from https://pantip.com/)
15:13:52	207006/207006	---MCZ	200	added ('OK')	text/html	etag:%226ivufg0fb13nvi%22	https://pantip.com/tag/%e0%b8%a8%e0%b8%b2%e0%b8%a5%e0%b8%b2%e0%b8%84%e0%b8%99%e0%b9%82%e0%b8%aa%e0%b8%94	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%a8%e0%b8%b2%e0%b8%a5%e0%b8%b2%e0%b8%84%e0%b8%99%e0%b9%82%e0%b8%aa%e0%b8%94.html	(from https://pantip.com/)
15:13:52	219123/219123	---MCZ	200	added ('OK')	text/html	etag:%22enz6lylxd3ryr%22	https://pantip.com/tag/%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%aa%e0%b8%9a%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%93%e0%b9%8c%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%a3%e0%b8%b1%e0%b8%81	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%aa%e0%b8%9a%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%93%e0%b9%8c%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%a3%e0%b8%b1%e0%b8%81.html	(from https://pantip.com/)
15:13:53	224327/224327	---MCZ	200	added ('OK')	text/html	etag:%2211iqu05j1k43udd%22	https://pantip.com/tag/%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a7%e0%b8%b1%e0%b8%a2%e0%b8%97%e0%b8%b3%e0%b8%87%e0%b8%b2%e0%b8%99	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a7%e0%b8%b1%e0%b8%a2%e0%b8%97%e0%b8%b3%e0%b8%87%e0%b8%b2%e0%b8%99.html	(from https://pantip.com/)
15:13:53	56272/56272	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:24%20GMT	https://pantip.com/profile/5016731	C:/My%20Web%20Sites/pantip/pantip.com/profile/5016731.html	(from https://pantip.com/)
15:13:53	1254/1254	---M--	200	added ('OK')	image/jpeg	etag:%2267c7dad8-4e6%22	https://p.ptcdn.info/206/016/000/5016731_50933324741741150935_Picsart-25-03-05-12-01-34-644_m.jpg	C:/My%20Web%20Sites/pantip/p.ptcdn.info/206/016/000/5016731_50933324741741150935_Picsart-25-03-05-12-01-34-644_m.jpg	(from https://pantip.com/)
15:13:56	168801/168801	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:26%20GMT	https://pantip.com/topic/43301014	C:/My%20Web%20Sites/pantip/pantip.com/topic/43301014.html	(from https://pantip.com/)
15:13:56	211008/211008	---MCZ	200	added ('OK')	text/html	etag:%221yayurzump3p7k%22	https://pantip.com/tag/%e0%b8%97%e0%b8%a3%e0%b8%b1%e0%b8%9e%e0%b8%a2%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%9a%e0%b8%b8%e0%b8%84%e0%b8%84%e0%b8%a5	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%97%e0%b8%a3%e0%b8%b1%e0%b8%9e%e0%b8%a2%e0%b8%b2%e0%b8%81%e0%b8%a3%e0%b8%9a%e0%b8%b8%e0%b8%84%e0%b8%84%e0%b8%a5.html	(from https://pantip.com/)
15:13:57	234256/234256	---MCZ	200	added ('OK')	text/html	etag:%2216dq6ua5jlo40ki%22	https://pantip.com/tag/%e0%b8%aa%e0%b8%a0%e0%b8%b2%e0%b8%9e%e0%b9%81%e0%b8%a7%e0%b8%94%e0%b8%a5%e0%b9%89%e0%b8%ad%e0%b8%a1%e0%b9%83%e0%b8%99%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%97%e0%b8%b3%e0%b8%87%e0%b8%b2%e0%b8%99_(Work_Environment)	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%aa%e0%b8%a0%e0%b8%b2%e0%b8%9e%e0%b9%81%e0%b8%a7%e0%b8%94%e0%b8%a5%e0%b9%89%e0%b8%ad%e0%b8%a1%e0%b9%83%e0%b8%99%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%97%e0%b8%b3%e0%b8%87%e0%b8%b2%e0%b8%99_(Work_Environment).html	(from https://pantip.com/)
15:13:57	217001/217001	---MCZ	200	added ('OK')	text/html	etag:%22187bfh2ngr3s7f%22	https://pantip.com/tag/%e0%b8%a1%e0%b8%99%e0%b8%b8%e0%b8%a9%e0%b8%a2%e0%b9%8c%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%99%e0%b9%80%e0%b8%94%e0%b8%b7%e0%b8%ad%e0%b8%99	C:/My%20Web%20Sites/pantip/pantip.com/tag/%e0%b8%a1%e0%b8%99%e0%b8%b8%e0%b8%a9%e0%b8%a2%e0%b9%8c%e0%b9%80%e0%b8%87%e0%b8%b4%e0%b8%99%e0%b9%80%e0%b8%94%e0%b8%b7%e0%b8%ad%e0%b8%99.html	(from https://pantip.com/)
15:13:57	49957/49957	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:28%20GMT	https://pantip.com/profile/1103726	C:/My%20Web%20Sites/pantip/pantip.com/profile/1103726.html	(from https://pantip.com/)
15:13:57	1153/1153	---M--	200	added ('OK')	image/jpeg	etag:%2267c9d060-481%22	https://p.ptcdn.info/210/016/000/1103726_17412793279853_m.jpg	C:/My%20Web%20Sites/pantip/p.ptcdn.info/210/016/000/1103726_17412793279853_m.jpg	(from https://pantip.com/)
15:13:59	170395/170395	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2008:13:29%20GMT	https://pantip.com/topic/43301511	C:/My%20Web%20Sites/pantip/pantip.com/topic/43301511.html	(from https://pantip.com/)
15:13:59	227638/227638	---MCZ	200	added ('OK')	text/html	etag:%22a8swk9bsog44g6%22	https://pantip.com/tag/NewJeans_(%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%a3%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%94%e0%b8%99%e0%b8%95%e0%b8%a3%e0%b8%b5)	C:/My%20Web%20Sites/pantip/pantip.com/tag/NewJeans_(%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%a3%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%99%e0%b8%b1%e0%b8%81%e0%b8%94%e0%b8%99%e0%b8%95%e0%b8%a3%e0%b8%b5).html	(from https://pantip.com/)
